Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
21,-2.7370,Tx-I-I-Rx,2,-88.9324,"-2.40000 0.75000 -4.80000, -4.95003 2.92013 8.00000, -5.04382 3.00000 7.52923, -7.15900 0.90000 -3.08800"
21,-6.1099,Tx-I-I-I-Rx,3,-88.9324,"-2.40000 0.75000 -4.80000, -0.00000 0.86298 1.65552, -2.35866 0.97402 8.00000, -6.81994 1.18404 -4.00000, -7.15900 0.90000 -3.08800"
22,0.0000,Tx-I-I-Rx,2,-86.1125,"-2.40000 0.75000 -4.80000, -5.38075 0.98442 2.28699, -7.54476 1.15459 -2.85797, -7.45900 0.90000 -3.08800"
23,-3.4262,Tx-I-I-I-Rx,3,-92.8113,"-2.40000 0.75000 -4.80000, -5.52978 2.92013 8.00000, -5.64489 3.00000 7.52921, -8.00000 1.36711 -2.10236, -7.75900 0.90000 -3.08800"
23,-7.8824,Tx-I-I-I-I-Rx,4,-92.8113,"-2.40000 0.75000 -4.80000, -0.00000 1.66345 0.58773, -3.30178 2.92013 8.00000, -3.51149 3.00000 7.52922, -8.00000 1.29173 -2.54697, -7.75900 0.90000 -3.08800"
23,-2.8065,Tx-I-I-I-Rx,3,-92.8113,"-2.40000 0.75000 -4.80000, -4.46113 0.00000 0.65960, -5.05836 0.21731 2.24159, -7.41470 1.07472 -4.00000, -7.75900 0.90000 -3.08800"
23,0.0000,Tx-I-I-I-Rx,3,-92.8113,"-2.40000 0.75000 -4.80000, -5.29758 0.97324 2.28699, -7.86807 1.17127 -4.00000, -8.00000 1.18143 -3.67745, -7.75900 0.90000 -3.08800"
24,-6.9613,Tx-I-I-I-I-I-Rx,5,-87.7532,"-2.40000 0.75000 -4.80000, -0.00000 0.81708 -5.61911, -2.41779 0.88465 -6.44429, -0.78972 0.93016 -7.00000, -0.00000 0.95223 -6.73049, -8.00000 1.17583 -4.00000, -8.05900 0.90000 -3.08800"
24,0.0000,Tx-I-I-Rx,2,-87.7532,"-2.40000 0.75000 -4.80000, -6.01371 3.00000 -4.28379, -8.00000 1.76330 -4.00000, -8.05900 0.90000 -3.08800"
24,-6.6184,Tx-I-I-I-Rx,3,-87.7532,"-2.40000 0.75000 -4.80000, -4.66909 3.00000 -4.47587, -7.69454 0.00000 -4.04369, -8.00000 0.30289 -4.00000, -8.05900 0.90000 -3.08800"
24,-6.1011,Tx-I-I-Rx,2,-87.7532,"-2.40000 0.75000 -4.80000, -6.16474 0.00000 2.48285, -8.00000 0.36559 6.03305, -8.05900 0.90000 -3.08800"
24,-3.9005,Tx-I-Rx,1,-87.7532,"-2.40000 0.75000 -4.80000, -8.00000 1.00744 6.03305, -8.05900 0.90000 -3.08800"
24,-8.5788,Tx-I-I-I-Rx,3,-87.7532,"-2.40000 0.75000 -4.80000, 7.06148 2.78029 -3.85951, 6.03394 3.00000 -3.81068, -8.00000 0.00000 -3.14383, -8.05900 0.90000 -3.08800"
25,0.0000,Tx-I-Rx,1,-90.2040,"-2.40000 0.75000 -4.80000, 7.06334 0.93483 -3.93177, -6.55900 0.90000 -3.38800"
26,0.0000,Tx-I-Rx,1,-86.0357,"-2.40000 0.75000 -4.80000, 7.06347 0.93246 -3.93663, -6.85900 0.90000 -3.38800"
27,-8.0204,Tx-I-I-I-I-Rx,4,-86.5349,"-2.40000 0.75000 -4.80000, -0.00000 1.61469 0.36420, -3.54858 2.89321 8.00000, -3.84483 3.00000 7.36253, -8.00000 1.50301 -1.57834, -7.15900 0.90000 -3.38800"
27,-2.9418,Tx-I-I-I-Rx,3,-86.5349,"-2.40000 0.75000 -4.80000, 3.45836 0.86141 -5.79099, 7.09544 0.93058 -5.17578, -2.99707 1.12112 -4.00000, -7.15900 0.90000 -3.38800"
27,-7.4670,Tx-I-I-I-Rx,3,-86.5349,"-2.40000 0.75000 -4.80000, 7.06379 0.91823 -3.94905, -0.00000 1.04339 -3.67992, -8.00000 1.18510 -3.41577, -7.15900 0.90000 -3.38800"
27,0.0000,Tx-I-I-Rx,2,-86.5349,"-2.40000 0.75000 -4.80000, -3.49544 0.79195 -4.66836, -0.00000 0.92582 -4.24831, -7.15900 0.90000 -3.38800"
28,0.0000,Tx-I-I-Rx,2,-85.2557,"-2.40000 0.75000 -4.80000, 3.32696 0.85766 -5.79099, 7.09449 0.92848 -5.13909, -7.45900 0.90000 -3.38800"
29,0.0000,Tx-I-I-Rx,2,-75.1328,"-2.40000 0.75000 -4.80000, 3.37705 0.85726 -5.79099, 7.09486 0.92628 -5.15328, -7.75900 0.90000 -3.38800"
30,0.0000,Tx-I-I-Rx,2,-87.1012,"-2.40000 0.75000 -4.80000, -5.84923 3.00000 -4.30729, -8.00000 1.59704 -4.00000, -8.05900 0.90000 -3.38800"
30,-1.4409,Tx-I-Rx,1,-87.1012,"-2.40000 0.75000 -4.80000, -8.00000 1.01997 3.03305, -8.05900 0.90000 -3.38800"
30,-7.9695,Tx-I-I-Rx,2,-87.1012,"-2.40000 0.75000 -4.80000, -5.99010 0.00000 0.22173, -8.00000 0.41985 3.03305, -8.05900 0.90000 -3.38800"
30,-7.2772,Tx-I-Rx,1,-87.1012,"-2.40000 0.75000 -4.80000, -8.00000 1.00387 6.03305, -8.05900 0.90000 -3.38800"
30,-2.6387,Tx-I-Rx,1,-87.1012,"-2.40000 0.75000 -4.80000, -8.00000 1.01997 3.03305, -8.05900 0.90000 -3.38800"
30,-7.0662,Tx-I-I-I-Rx,3,-87.1012,"-2.40000 0.75000 -4.80000, -4.56581 3.00000 -4.49062, -7.45356 0.00000 -4.07811, -8.00000 0.56768 -4.00000, -8.05900 0.90000 -3.38800"
31,-7.0275,Tx-I-I-I-Rx,3,-95.5023,"-2.40000 0.75000 -4.80000, -6.08035 2.86694 8.00000, -6.31158 3.00000 7.19579, -8.00000 2.02888 1.32377, -6.55900 0.90000 -3.68800"
31,0.0000,Tx-I-I-Rx,2,-95.5023,"-2.40000 0.75000 -4.80000, -4.55365 0.98302 2.28699, -6.46419 1.18974 -4.00000, -6.55900 0.90000 -3.68800"
32,-9.6134,Tx-I-I-I-I-Rx,4,-92.2777,"-2.40000 0.75000 -4.80000, -2.63327 0.96175 -6.22985, -2.99707 1.29198 -4.00000, -4.87740 3.00000 7.53344, -4.95346 2.93091 8.00000, -6.85900 0.90000 -3.68800"
32,0.0000,Tx-I-I-I-Rx,3,-92.2777,"-2.40000 0.75000 -4.80000, -5.92353 2.86695 8.00000, -6.14491 3.00000 7.19581, -8.00000 1.88553 0.45698, -6.85900 0.90000 -3.68800"
32,-8.2573,Tx-I-I-I-I-Rx,4,-92.2777,"-2.40000 0.75000 -4.80000, 3.45834 1.76681 -5.79099, 7.09544 2.39808 -5.17578, 3.60204 3.00000 -4.76881, -2.99707 1.86306 -4.00000, -6.85900 0.90000 -3.68800"
32,-9.6038,Tx-I-I-Rx,2,-92.2777,"-2.40000 0.75000 -4.80000, -3.69094 0.99369 2.28699, -4.73105 1.06143 8.00000, -6.85900 0.90000 -3.68800"
32,-4.5566,Tx-I-I-I-I-Rx,4,-92.2777,"-2.40000 0.75000 -4.80000, -0.00000 1.59221 0.29234, -3.63251 2.86695 8.00000, -4.01150 3.00000 7.19585, -8.00000 1.60041 -1.26697, -6.85900 0.90000 -3.68800"
32,-7.4094,Tx-I-Rx,1,-92.2777,"-2.40000 0.75000 -4.80000, -2.99707 0.84219 -4.00000, -6.85900 0.90000 -3.68800"
33,-8.4648,Tx-I-I-I-Rx,3,-85.3749,"-2.40000 0.75000 -4.80000, 7.06434 0.86299 -3.97034, -0.00000 0.94706 -3.71701, 7.05127 1.03098 -3.46416, -7.15900 0.90000 -3.68800"
33,0.0000,Tx-I-I-Rx,2,-85.3749,"-2.40000 0.75000 -4.80000, -5.39324 0.90920 2.28699, -7.51733 1.02216 -2.74201, -7.15900 0.90000 -3.68800"
34,0.0000,Tx-I-I-I-Rx,3,-88.6132,"-2.40000 0.75000 -4.80000, 7.06431 0.86210 -3.96916, -0.00000 0.94551 -3.71496, 7.05120 1.02877 -3.46123, -7.45900 0.90000 -3.68800"
34,-3.8477,Tx-I-I-Rx,2,-88.6132,"-2.40000 0.75000 -4.80000, -5.04436 2.86696 8.00000, -5.21048 3.00000 7.19590, -7.45900 0.90000 -3.68800"
35,0.0000,Tx-I-I-Rx,2,-89.0134,"-2.40000 0.75000 -4.80000, -5.17504 0.98302 2.28699, -7.63683 1.18974 -4.00000, -7.75900 0.90000 -3.68800"
35,-1.2692,Tx-I-I-I-Rx,3,-89.0134,"-2.40000 0.75000 -4.80000, 7.06428 0.86123 -3.96800, -0.00000 0.94399 -3.71293, 7.05113 1.02659 -3.45835, -7.75900 0.90000 -3.68800"
35,-6.1641,Tx-I-I-I-Rx,3,-89.0134,"-2.40000 0.75000 -4.80000, -4.46113 0.00000 0.42883, -5.17568 0.26000 2.24159, -7.63601 1.15525 -4.00000, -7.75900 0.90000 -3.68800"
36,0.0000,Tx-I-I-Rx,2,-91.4384,"-2.40000 0.75000 -4.80000, -5.68572 3.00000 -4.33064, -8.00000 1.41525 -4.00000, -8.05900 0.90000 -3.68800"
