Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-Rx,1,-65.2091,"3.90000 1.00000 -0.80000, 8.00000 1.02808 -2.03560, -2.50000 1.10000 -5.20000"
1,-6.4359,Tx-I-I-Rx,2,-65.2091,"3.90000 1.00000 -0.80000, 8.00000 0.41028 -2.03561, 5.14790 0.00000 -2.89515, -2.50000 1.10000 -5.20000"
1,-11.1040,Tx-I-I-Rx,2,-65.2091,"3.90000 1.00000 -0.80000, -7.71306 1.06902 -6.29817, -6.26637 1.07762 -6.98316, -2.50000 1.10000 -5.20000"
1,-11.5204,Tx-I-I-Rx,2,-65.2091,"3.90000 1.00000 -0.80000, -0.09559 0.00000 -2.89521, -3.49544 0.85087 -4.67801, -2.50000 1.10000 -5.20000"
1,-13.2778,Tx-I-I-Rx,2,-65.2091,"3.90000 1.00000 -0.80000, 8.00000 2.09520 -2.03560, 4.61296 3.00000 -3.05637, -2.50000 1.10000 -5.20000"
1,-14.1171,Tx-I-I-I-I-Rx,4,-65.2091,"3.90000 1.00000 -0.80000, 8.00000 1.02808 -3.72049, 5.09340 1.04799 -5.79099, 3.39617 1.05962 -7.00000, -0.81537 1.08846 -4.00000, -2.50000 1.10000 -5.20000"
1,-14.3616,Tx-I-I-Rx,2,-65.2091,"3.90000 1.00000 -0.80000, 2.96573 0.83538 -0.69008, 8.00000 0.92114 -2.15162, -2.50000 1.10000 -5.20000"
