Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
1,-68.3735,Tx-R-D-R-T-T-R-Rx,8,"1 -6 1, -3.07518 -7.41959 0.999997, -3.11275 -7.40651 0.999997, -3.70484 -6.3366 0.999996, -5.15072 -8.94924 0.999999, -5.58028 -9.72545 1, -5.61647 -9.79085 1, -5.58725 -9.84364 1"
1,-68.4318,Tx-R-D-R-T-T-Rx,7,"1 -6 1, -2.41091 -7.41959 1.00014, -2.44356 -7.406 1.00014, -3.17816 -6.3366 1.00011, -5.15079 -9.20826 1.00002, -5.50618 -9.72561 1, -5.58725 -9.84364 1"
1,-68.6272,Tx-R-D-R-T-T-R-Rx,8,"1 -6 1, -3.07345 -7.41959 1.00002, -3.11391 -7.40549 1.00002, -3.63988 -6.3366 1.00002, -5.15076 -9.40705 1, -5.30763 -9.72585 1, -5.47642 -10.0689 1, -5.58725 -9.84364 1"
1,-68.9085,Tx-D-T-R-T-Rx,6,"1 -6 1, -5.60442 -7.52618 1.00036, -5.57997 -7.58984 1.00035, -5.15071 -8.70726 1.00017, -5.54188 -9.72554 1.00002, -5.58725 -9.84364 1"
1,-69.194,Tx-D-R-T-R-T-Rx,7,"1 -6 1, -5.59647 -6.97688 0.999999, -5.61647 -7.03904 0.999999, -5.43917 -7.59013 0.999999, -5.15072 -8.48675 0.999999, -5.54925 -9.72552 1, -5.58725 -9.84364 1"
1,-69.2367,Tx-R-D-T-R-T-Rx,7,"1 -6 1, 5.65853 -6.3761 1, -5.60166 -7.28516 0.999999, -5.49592 -7.59001 0.999999, -5.15072 -8.58518 0.999999, -5.54628 -9.72553 1, -5.58725 -9.84364 1"
1,-69.3667,Tx-D-R-T-R-T-Rx,7,"1 -6 1, -5.59647 -6.74224 0.999999, -5.61647 -6.8095 0.999999, -5.38429 -7.59024 0.999999, -5.15072 -8.37569 0.999999, -5.55212 -9.72551 1, -5.58725 -9.84364 1"
1,-69.5847,Tx-D-R-T-T-Rx,6,"1 -6 1, -3.11391 -7.40549 1.00004, -3.69165 -6.3366 1.00003, -5.15072 -9.036 1.00001, -5.52344 -9.72557 1, -5.58725 -9.84364 1"
1,-69.5887,Tx-R-D-T-R-T-Rx,7,"1 -6 1, -3.51095 -7.04199 0.0997569, -5.60404 -7.52547 0.517471, -5.57933 -7.58985 0.530871, -5.15071 -8.70642 0.763286, -5.54191 -9.72552 0.975414, -5.58725 -9.84364 1"
1,-69.7122,Tx-D-R-T-T-Rx,6,"1 -6 1, -5.16344 -7.59025 1.00176, -5.27505 -6.3366 1.00129, -5.38665 -7.59024 1.00083, -5.57673 -9.72546 1.00004, -5.58725 -9.84364 1"
1,-69.7369,Tx-D-R-T-T-R-Rx,7,"1 -6 1, -2.44539 -7.40513 1.00015, -3.19275 -6.3366 1.00011, -5.15072 -9.13597 1.00002, -5.56305 -9.72549 1, -5.61647 -9.80187 1, -5.58725 -9.84364 1"
1,-69.9269,Tx-R-D-R-T-T-R-Rx,8,"1 -6 1, -3.07518 -7.41959 0.999997, -3.11275 -7.40651 0.999997, -3.63936 -6.3366 0.999996, -5.15076 -9.40729 0.999999, -5.30756 -9.72585 0.999999, -5.47639 -10.0689 1, -5.58725 -9.84364 1"
1,-70.0569,Tx-D-T-R-T-R-R-Rx,8,"1 -6 1, -5.60166 -7.28516 1.00008, -5.51836 -7.58997 1.00008, -5.15071 -8.93516 1.0001, -5.36682 -9.72585 1.00011, -5.46057 -10.0689 1.00011, -5.55442 -9.72551 1.00012, -5.58725 -9.84364 1"
1,-70.419,Tx-D-R-T-R-T-Rx,7,"1 -6 1, -5.16344 -7.59025 1.00176, -5.28423 -6.3366 1.00129, -5.405 -7.5902 1.00083, -5.60468 -9.66275 1.00007, -5.59864 -9.72541 1.00004, -5.58725 -9.84364 1"
1,-70.7845,Tx-D-T-T-R-Rx,6,"1 -6 1, -5.60166 -7.28516 1, -5.6002 -7.5898 1, -5.58998 -9.72543 1, -5.58833 -10.0689 1, -5.58725 -9.84364 1"
