Rx_Number,Path_Power,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
1,-54.2586,Tx-R-D-Rx,4,"-2.48996 0.30000 4.85594, -2.96519 0.28298 4.83104, -5.27454 0.36570 4.71004, 0.25833 1.50000 4.41431"
1,-54.3758,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.27454 0.36570 4.71008, 0.25833 1.50000 4.41431"
1,-54.6215,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30830 0.30600 4.84755, -5.39468 0.72767 4.69454, 0.25833 1.50000 4.41431"
1,-55.0464,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30371 0.40440 5.83301, -5.49897 0.78197 7.40635, -5.65853 0.80083 7.32778, 0.25833 1.50000 4.41431"
1,-55.1974,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30863 0.29762 4.96190, -5.28096 0.37212 6.68737, -5.65853 0.43978 6.90998, -4.81661 0.59064 7.40635, 0.25833 1.50000 4.41431"
1,-55.2585,Tx-R-D-Rx,4,"-2.48996 0.30000 4.85594, -1.84404 3.02001 4.67421, -1.32779 0.84600 4.52896, 0.25833 1.50000 4.41431"
1,-55.267,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30932 0.26168 4.96287, -3.06328 0.13187 5.40289, -5.65853 0.54900 6.92597, -4.83997 0.68056 7.40635, 0.25833 1.50000 4.41431"
1,-55.5305,Tx-R-D-R-R-R-Rx,7,"-2.48996 0.30000 4.85594, -2.30941 0.25655 4.96165, -2.97190 0.12393 5.34367, -3.11789 0.09976 5.42944, -5.65853 0.52039 6.92212, -4.83433 0.65685 7.40635, 0.25833 1.50000 4.41431"
1,-55.5382,Tx-R-D-Rx,4,"-2.48996 0.30000 4.85594, -1.84943 3.02001 4.67445, -1.33881 0.85171 4.52978, 0.25833 1.50000 4.41431"
1,-55.7908,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.77697 0.13187 5.35570, -2.70892 0.09976 5.46875, -1.54264 0.65013 7.40635, 0.25833 1.50000 4.41431"
1,-56.3382,Tx-R-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30915 0.26121 4.84764, -3.23227 0.09976 4.80284, -5.48989 0.49462 4.69327, 0.25833 1.50000 4.41431"
1,-56.3924,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.77697 0.13187 5.35937, -1.54395 0.68764 7.40635, 0.25833 1.50000 4.41431"
1,-56.5101,Tx-R-R-D-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30448 0.39800 5.00149, -5.65853 0.37221 6.93180, -5.64651 0.37212 6.93872, -4.84837 0.52457 7.40635, 0.25833 1.50000 4.41431"
1,-56.7551,Tx-R-R-D-R-R-Rx,7,"-2.48996 0.30000 4.85594, -2.30923 0.26616 4.96300, -3.43628 0.09976 5.62186, -5.28096 0.37212 6.70023, -5.65853 0.43978 6.92207, -4.83425 0.58748 7.40635, 0.25833 1.50000 4.41431"
1,-56.8181,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.29781 0.38552 4.75592, -2.99258 0.28298 4.72937, -5.48989 0.65157 4.63395, 0.25833 1.50000 4.41431"
1,-57.2269,Tx-D-R-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.78615 0.21472 5.34367, -3.45304 0.09976 5.72720, -5.65853 0.47997 6.99558, -4.94428 0.60310 7.40635, 0.25833 1.50000 4.41431"
1,-57.6474,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.77697 0.14704 5.40289, -2.67782 0.09976 5.56607, -1.55965 0.63301 7.40635, 0.25833 1.50000 4.41431"
1,-57.7268,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.35641 1.76629 4.69511, 0.25833 1.50000 4.41431"
1,-57.7308,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -3.19031 0.09976 4.36497, -3.30261 0.13187 4.28624, -5.65853 0.52148 6.02685, -3.79138 0.83027 7.40635, 0.25833 1.50000 4.41431"
2,-38.4485,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -5.65853 0.74286 6.90570, -4.88461 0.85103 7.40635, -0.24139 1.50000 4.40264"
2,-39.6557,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.71154 0.28298 4.99824, -5.65853 0.71178 6.90502, -4.88371 0.82452 7.40635, -0.24139 1.50000 4.40264"
2,-39.7064,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -1.04748 3.02001 4.56514, -0.24139 1.50000 4.40264"
2,-40.1012,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -5.34345 0.91218 4.69169, -0.24139 1.50000 4.40264"
2,-40.1842,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -5.39468 0.73257 4.69253, -0.24139 1.50000 4.40264"
2,-42.4698,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.71154 0.28298 4.84345, -5.34547 0.87025 4.69174, -0.24139 1.50000 4.40264"
2,-45.9963,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34309 0.91963 4.69162, -0.24139 1.50000 4.40264"
