Rx_Number,Path_Power,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
7,-39.6236,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -2.64990 3.02001 4.60678, -2.73927 1.50000 4.46754"
7,-39.9704,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.29333 0.33753 5.54835, -2.46606 0.78781 7.40635, -2.73927 1.50000 4.46754"
7,-40.7235,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.28047 0.49361 4.83362, -2.73927 1.50000 4.46754"
7,-41.2139,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.28291 0.47296 4.80571, -2.27683 0.49436 4.83184, -2.73927 1.50000 4.46754"
7,-42.8999,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -2.52115 0.09976 5.54272, -2.60580 0.64314 7.40635, -2.73927 1.50000 4.46754"
7,-43.1578,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.28248 0.37586 4.83333, -2.27133 0.34765 4.82461, -2.73927 1.50000 4.46754"
7,-43.3259,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.30036 0.32457 4.80371, -2.73927 1.50000 4.46754"
7,-43.5004,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -3.04084 0.13187 5.34367, -5.32435 0.69611 7.40635, -5.65853 0.77868 7.10449, -2.73927 1.50000 4.46754"
7,-43.6506,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30892 0.30591 5.47683, -2.47949 0.77918 7.40635, -2.73927 1.50000 4.46754"
7,-43.8467,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34616 0.96197 4.65236, -2.73927 1.50000 4.46754"
7,-43.8904,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30311 0.49756 5.74447, -2.30463 0.52057 5.85057, -2.45508 0.85959 7.40635, -2.73927 1.50000 4.46754"
7,-44.4204,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.30936 0.24526 4.78110, -2.73927 1.50000 4.46754"
7,-45.2426,Tx-R-R-R-Rx,5,"-2.48996 0.30000 4.85594, -3.25163 0.09976 5.54272, -5.31849 0.64314 7.40635, -5.65853 0.73253 7.09975, -2.73927 1.50000 4.46754"
7,-45.2567,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34616 0.92337 4.65294, -2.73927 1.50000 4.46754"
7,-45.2865,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.28271 0.37578 4.83465, -2.73927 1.50000 4.46754"
7,-45.7307,Tx-R-D-Rx,4,"-2.48996 0.30000 4.85594, -2.60341 0.09976 4.80203, -2.70610 0.28101 4.75322, -2.73927 1.50000 4.46754"
7,-45.9253,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30884 0.28993 5.00826, -2.71154 0.28298 5.34444, -5.13033 0.78478 7.40635, -5.65853 0.89437 6.95608, -2.73927 1.50000 4.46754"
7,-45.9457,Tx-D-R-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.70882 0.24398 5.05295, -3.25688 0.09976 5.54715, -5.31870 0.64235 7.40635, -5.65853 0.73177 7.09992, -2.73927 1.50000 4.46754"
7,-46.369,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -3.10106 0.13187 5.40289, -5.32118 0.68647 7.40635, -5.65853 0.77075 7.10192, -2.73927 1.50000 4.46754"
7,-46.4122,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.29331 0.37209 4.89600, -2.36592 0.09976 4.82624, -2.73927 1.50000 4.46754"
7,-47.6332,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34309 0.91963 4.65298, -2.73927 1.50000 4.46754"
7,-47.6936,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30313 0.49888 5.74431, -2.46069 0.86053 7.40635, -2.73927 1.50000 4.46754"
7,-47.736,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.70610 0.28101 4.79727, -2.73927 1.50000 4.46754"
7,-47.832,Tx-R-R-R-Rx,5,"-2.48996 0.30000 4.85594, -5.65853 0.54599 5.98119, -1.64544 0.85755 7.40635, 1.94533 1.13631 6.13117, -2.73927 1.50000 4.46754"
7,-47.8458,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30724 0.39927 5.05615, -5.09359 0.88839 7.40635, -5.65853 0.98756 6.92984, -2.73927 1.50000 4.46754"
7,-48.2957,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.30625 0.15612 4.77229, -2.73927 1.50000 4.46754"
7,-48.3723,Tx-R-D-R-Rx,5,"-2.48996 0.30000 4.85594, -2.37809 0.09976 5.52170, -2.30494 0.23070 5.95707, -2.44839 0.64992 7.40635, -2.73927 1.50000 4.46754"
7,-48.641,Tx-D-R-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.71154 0.28298 4.93461, -5.65853 0.51839 5.98118, -1.64541 0.83896 7.40635, 1.94533 1.12579 6.13118, -2.73927 1.50000 4.46754"
7,-48.7275,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.39468 0.70277 4.65629, -2.73927 1.50000 4.46754"
7,-49.1828,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.35827 0.09976 5.51033, -2.30371 0.18272 5.78147, -2.30109 0.20488 5.85759, -2.45232 0.65185 7.40635, -2.73927 1.50000 4.46754"
7,-49.2254,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30854 0.30596 5.00863, -5.12533 0.84245 7.40635, -5.65853 0.94400 6.95248, -2.73927 1.50000 4.46754"
7,-49.3727,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -5.48989 0.45010 4.67988, -1.58466 0.64549 4.45069, -2.73927 1.50000 4.46754"
7,-49.5235,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.35945 0.09976 5.50471, -2.30392 0.18495 5.78073, -2.30387 0.22871 5.93143, -2.44937 0.65354 7.40635, -2.73927 1.50000 4.46754"
7,-49.5379,Tx-D-R-R-R-Rx,6,"-2.48996 0.30000 4.85594, -3.04194 0.12393 5.34367, -3.13588 0.09976 5.42854, -5.32500 0.66304 7.40635, -5.65853 0.74886 7.10502, -2.73927 1.50000 4.46754"
7,-49.7239,Tx-R-D-R-Rx,5,"-2.48996 0.30000 4.85594, -2.36198 0.09976 5.49260, -2.30439 0.18987 5.77909, -2.45937 0.65677 7.40635, -2.73927 1.50000 4.46754"
7,-49.8573,Tx-R-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.80453 0.28298 4.83748, -5.48989 0.42830 4.67988, -1.58646 0.63954 4.45079, -2.73927 1.50000 4.46754"
7,-50.3101,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.70882 0.28271 4.79661, -2.73927 1.50000 4.46754"
8,-13.5563,Tx-Rx,2,"-2.48996 0.30000 4.85594, -3.23857 1.50000 4.44473"
8,-24.55,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -2.30295 0.31849 4.81075, -3.23857 1.50000 4.44473"
8,-26.2182,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -2.29310 0.46209 4.86488, -3.23857 1.50000 4.44473"
8,-30.0859,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -2.83634 0.85524 7.40635, -3.23857 1.50000 4.44473"
8,-31.2304,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -2.58362 0.09976 4.80450, -3.23857 1.50000 4.44473"
8,-32.1383,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.29803 0.50483 4.75881, -3.23857 1.50000 4.44473"
8,-32.2631,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.29391 0.33852 4.80763, -3.23857 1.50000 4.44473"
8,-32.7003,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.30825 0.30601 4.81223, -3.23857 1.50000 4.44473"
8,-33.8497,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30839 0.30762 5.44810, -2.67863 0.78222 7.40635, -3.23857 1.50000 4.44473"
8,-34.5576,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.31168 0.44935 5.61013, -2.66161 0.84600 7.40635, -3.23857 1.50000 4.44473"
8,-34.9054,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -2.27568 0.36809 4.84987, -2.27425 0.34648 4.84411, -3.23857 1.50000 4.44473"
8,-36.0359,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30964 0.53160 5.92667, -2.61913 0.85424 7.40635, -3.23857 1.50000 4.44473"
8,-36.0664,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.29803 0.49572 4.76192, -3.23857 1.50000 4.44473"
8,-36.3068,Tx-R-D-Rx,4,"-2.48996 0.30000 4.85594, -2.60341 0.09976 4.80243, -2.70610 0.28101 4.75400, -3.23857 1.50000 4.44473"
8,-36.3962,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -5.35787 0.99006 4.61947, -3.23857 1.50000 4.44473"
8,-39.0205,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.71154 0.28298 4.83809, -5.34616 0.95912 4.61955, -3.23857 1.50000 4.44473"
8,-39.1239,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -5.07576 0.85524 7.40635, -5.65853 0.98038 6.83156, -3.23857 1.50000 4.44473"
8,-39.1744,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.29063 0.47941 4.85796, -3.23857 1.50000 4.44473"
8,-39.5713,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -2.97020 3.02001 4.59215, -3.23857 1.50000 4.44473"
8,-40.5083,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.71154 0.28298 5.06990, -5.07837 0.81969 7.40635, -5.65853 0.95125 6.83364, -3.23857 1.50000 4.44473"
8,-41.3966,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.28576 0.37474 4.85219, -3.23857 1.50000 4.44473"
8,-42.1985,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.70683 0.28199 4.79808, -3.23857 1.50000 4.44473"
8,-42.6732,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -5.34762 0.96343 4.62078, -5.35787 0.96602 4.61993, -3.23857 1.50000 4.44473"
8,-42.7259,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.29852 0.46330 4.88901, -3.23857 1.50000 4.44473"
8,-42.8988,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30919 0.30586 5.44859, -2.67906 0.78109 7.40635, -3.23857 1.50000 4.44473"
8,-42.9124,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -2.58362 0.09976 5.54557, -2.83634 0.64006 7.40635, -3.23857 1.50000 4.44473"
8,-43.1527,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.30045 0.32438 4.81015, -3.23857 1.50000 4.44473"
8,-43.2537,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.29225 0.43866 4.85583, -3.23857 1.50000 4.44473"
8,-43.5499,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34616 0.96197 4.61987, -3.23857 1.50000 4.44473"
8,-43.6725,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30751 0.16241 4.80907, -2.34739 0.09976 4.79347, -3.23857 1.50000 4.44473"
8,-43.9233,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -5.35787 0.99606 4.08288, -5.34937 0.99808 4.08142, -3.23857 1.50000 4.44473"
8,-43.9573,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30356 0.13655 4.80409, -2.32750 0.09976 4.79489, -3.23857 1.50000 4.44473"
8,-44.0326,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.30240 0.44747 4.72224, -3.23857 1.50000 4.44473"
8,-44.6048,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.99372 0.13187 5.34367, -5.08123 0.69354 7.40635, -5.65853 0.84888 6.83591, -3.23857 1.50000 4.44473"
8,-44.8707,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30589 0.15343 4.80733, -2.34032 0.09976 4.79395, -3.23857 1.50000 4.44473"
8,-45.5164,Tx-R-D-Rx,4,"-2.48996 0.30000 4.85594, -5.35787 0.99599 4.08418, -5.34762 0.99848 4.08142, -3.23857 1.50000 4.44473"
8,-45.906,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.29104 0.37116 4.75343, -2.44488 0.09976 4.70331, -3.23857 1.50000 4.44473"
8,-45.9439,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30367 0.51207 5.83312, -2.62801 0.85481 7.40635, -3.23857 1.50000 4.44473"
8,-46.5152,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.70610 0.28101 4.81439, -2.30202 0.32045 4.73664, -3.23857 1.50000 4.44473"
8,-46.5381,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.35787 0.99613 4.08288, -3.23857 1.50000 4.44473"
8,-46.6472,Tx-R-R-R-Rx,5,"-2.48996 0.30000 4.85594, -3.18916 0.09976 5.54557, -5.07576 0.64006 7.40635, -5.65853 0.80696 6.83156, -3.23857 1.50000 4.44473"
8,-46.7659,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30614 0.15036 5.48862, -2.33866 0.09976 5.65881, -2.67261 0.61938 7.40635, -3.23857 1.50000 4.44473"
8,-47.0921,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34616 0.92337 4.62062, -3.23857 1.50000 4.44473"
8,-47.4138,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30886 0.28983 5.02113, -2.70882 0.28271 5.38329, -4.88813 0.77676 7.40635, -5.65853 0.95140 6.69119, -3.23857 1.50000 4.44473"
8,-47.4214,Tx-D-R-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.70882 0.24398 5.07015, -3.21025 0.09976 5.56488, -5.07670 0.63660 7.40635, -5.65853 0.80395 6.83231, -3.23857 1.50000 4.44473"
8,-47.4503,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -3.04879 0.13187 5.40289, -5.07832 0.68393 7.40635, -5.65853 0.84175 6.83360, -3.23857 1.50000 4.44473"
8,-47.7749,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30609 0.39654 5.53436, -2.66723 0.82390 7.40635, -3.23857 1.50000 4.44473"
8,-48.0414,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30771 0.39836 5.07163, -4.85157 0.88398 7.40635, -5.65853 1.03803 6.66573, -3.23857 1.50000 4.44473"
8,-48.3187,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30081 0.11658 4.80084, -2.31194 0.09976 4.79661, -3.23857 1.50000 4.44473"
8,-48.3436,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34309 0.91963 4.62066, -3.23857 1.50000 4.44473"
9,-15.1544,Tx-Rx,2,"-2.48996 0.30000 4.85594, -3.73726 1.50000 4.47990"
9,-28.4311,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.30113 0.41232 4.88896, -3.73726 1.50000 4.47990"
9,-29.2171,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.29961 0.43832 4.76160, -3.73726 1.50000 4.47990"
9,-30.4207,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -3.07079 0.85881 7.40635, -3.73726 1.50000 4.47990"
9,-31.1936,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.30826 0.30601 4.82292, -3.73726 1.50000 4.47990"
9,-31.9113,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.70683 0.28199 4.81081, -3.73726 1.50000 4.47990"
9,-33.614,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30643 0.52101 5.88296, -2.79627 0.85617 7.40635, -3.73726 1.50000 4.47990"
9,-35.6106,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -5.35787 1.06673 4.61567, -3.73726 1.50000 4.47990"
9,-36.0813,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.31270 0.45223 5.47730, -2.87867 0.86850 7.40635, -3.73726 1.50000 4.47990"
9,-36.3371,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.29391 0.33851 4.81947, -3.73726 1.50000 4.47990"
9,-37.2645,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30367 0.50858 5.83312, -2.80490 0.85521 7.40635, -3.73726 1.50000 4.47990"
9,-38.6475,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30904 0.30588 5.34465, -2.89935 0.79944 7.40635, -3.73726 1.50000 4.47990"
9,-39.4734,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -3.29012 3.02001 4.61471, -3.73726 1.50000 4.47990"
9,-39.7043,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.70882 0.28271 4.83822, -5.35787 1.03796 4.61591, -3.73726 1.50000 4.47990"
9,-40.886,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.28535 0.36854 4.88479, -2.28871 0.34062 4.87873, -3.73726 1.50000 4.47990"
9,-41.2466,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.28917 0.37359 4.87175, -3.73726 1.50000 4.47990"
9,-41.2693,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.30204 0.41259 4.89304, -3.73726 1.50000 4.47990"
9,-41.3752,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -2.28628 0.46139 3.81516, -3.08577 1.03366 7.40635, -3.73726 1.50000 4.47990"
9,-41.4027,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -4.86014 0.85881 7.40635, -5.65853 1.04704 6.54726, -3.73726 1.50000 4.47990"
9,-42.1894,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -5.35787 1.06826 4.08288, -5.35195 1.06984 4.08142, -3.73726 1.50000 4.47990"
9,-42.3443,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.29784 0.44962 3.89078, -2.28320 0.46124 3.81580, -3.08432 1.03355 7.40635, -3.73726 1.50000 4.47990"
9,-42.363,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.70882 0.28271 4.81041, -3.73726 1.50000 4.47990"
9,-42.5987,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30964 0.53116 5.92674, -2.78906 0.85651 7.40635, -3.73726 1.50000 4.47990"
9,-42.7567,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.71154 0.28298 5.08821, -4.86334 0.82091 7.40635, -5.65853 1.01970 6.54969, -3.73726 1.50000 4.47990"
9,-42.8952,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.29422 0.33819 5.38926, -2.88302 0.81224 7.40635, -3.73726 1.50000 4.47990"
9,-43.1409,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -2.64601 0.09976 5.54117, -3.07079 0.64482 7.40635, -3.73726 1.50000 4.47990"
9,-43.2392,Tx-R-D-Rx,4,"-2.48996 0.30000 4.85594, -5.35787 1.06817 4.08418, -5.34762 1.07092 4.08142, -3.73726 1.50000 4.47990"
9,-44.279,Tx-R-D-Rx,4,"-2.48996 0.30000 4.85594, -2.30858 0.28960 4.82504, -2.70683 0.28199 4.75609, -3.73726 1.50000 4.47990"
9,-44.4769,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.29775 0.50499 4.76204, -3.73726 1.50000 4.47990"
9,-44.5833,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -5.34762 0.96343 4.61872, -5.35787 0.96681 4.61785, -3.73726 1.50000 4.47990"
9,-44.8807,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.28864 0.37377 4.86866, -2.29275 0.33897 4.86142, -3.73726 1.50000 4.47990"
9,-45.442,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34616 0.96197 4.61773, -3.73726 1.50000 4.47990"
9,-45.5176,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.35787 1.06837 4.08288, -3.73726 1.50000 4.47990"
9,-46.1222,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.29109 0.48094 4.86031, -3.73726 1.50000 4.47990"
9,-46.1286,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.35787 1.02381 5.54804, -3.73726 1.50000 4.47990"
9,-46.4198,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.71154 0.28298 4.80987, -3.73726 1.50000 4.47990"
9,-46.4422,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.31012 0.17099 5.36974, -2.37921 0.09976 5.61000, -2.89576 0.63235 7.40635, -3.73726 1.50000 4.47990"
9,-46.6249,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.95150 0.13187 5.34367, -4.86500 0.69750 7.40635, -5.65853 0.93207 6.55096, -3.73726 1.50000 4.47990"
9,-46.7297,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.29422 0.33820 5.38685, -2.29760 0.37802 5.49322, -2.86671 0.82155 7.40635, -3.73726 1.50000 4.47990"
9,-47.2153,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30654 0.39700 5.41004, -2.88674 0.84430 7.40635, -3.73726 1.50000 4.47990"
9,-47.3157,Tx-R-R-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.26965 0.43500 4.81027, -2.26190 0.44255 4.82049, -2.26168 0.44733 4.81333, -2.26982 0.45574 4.82350, -3.73726 1.50000 4.47990"
9,-48.0148,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -5.34762 1.06578 4.08142, -5.35787 1.06851 4.08392, -3.73726 1.50000 4.47990"
9,-48.3801,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.28872 0.46139 3.81465, -3.08691 1.03370 7.40635, -3.73726 1.50000 4.47990"
9,-48.5685,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.30081 0.11659 4.81223, -3.73726 1.50000 4.47990"
9,-48.7519,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.30062 0.32403 4.82255, -3.73726 1.50000 4.47990"
9,-48.7523,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30888 0.28983 5.03427, -2.70882 0.28271 5.42525, -4.67516 0.77411 7.40635, -5.65853 1.01986 6.41559, -3.73726 1.50000 4.47990"
9,-49.0275,Tx-R-R-R-Rx,5,"-2.48996 0.30000 4.85594, -3.12677 0.09976 5.54117, -4.86014 0.64482 7.40635, -5.65853 0.89587 6.54726, -3.73726 1.50000 4.47990"
9,-49.2155,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.31031 0.17769 4.82044, -2.38554 0.09976 4.80249, -3.73726 1.50000 4.47990"
9,-49.3124,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.35641 1.76629 4.60685, -3.73726 1.50000 4.47990"
9,-49.3659,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -3.00195 0.13187 5.40289, -4.86234 0.68786 7.40635, -5.65853 0.92581 6.54893, -3.73726 1.50000 4.47990"
10,-16.8755,Tx-Rx,2,"-2.48996 0.30000 4.85594, -4.23670 1.50000 4.48324"
10,-28.7348,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.70882 0.28271 4.81829, -4.23670 1.50000 4.48324"
10,-30.6304,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.30052 0.40501 4.76141, -4.23670 1.50000 4.48324"
10,-31.0379,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -3.30386 0.85915 7.40635, -4.23670 1.50000 4.48324"
10,-33.1381,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.30827 0.30601 4.82874, -4.23670 1.50000 4.48324"
10,-34.4479,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.70882 0.28271 5.40894, -3.32904 0.77685 7.40635, -4.23670 1.50000 4.48324"
10,-34.7903,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -5.35787 1.16273 4.58799, -4.23670 1.50000 4.48324"
10,-35.0639,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -2.31298 0.44935 5.36786, -3.10335 0.88102 7.40635, -4.23670 1.50000 4.48324"
10,-38.3259,Tx-R-D-Rx,4,"-2.48996 0.30000 4.85594, -2.30858 0.28984 4.82975, -2.70882 0.28271 4.77082, -4.23670 1.50000 4.48324"
10,-39.4317,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.29392 0.33851 4.82587, -4.23670 1.50000 4.48324"
10,-39.7871,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.70882 0.28271 4.83637, -5.35787 1.13801 4.58825, -4.23670 1.50000 4.48324"
10,-39.7966,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30892 0.30590 5.26348, -3.12435 0.81100 7.40635, -4.23670 1.50000 4.48324"
10,-39.9854,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -3.61051 3.02001 4.61685, -4.23670 1.50000 4.48324"
10,-40.0195,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.70683 0.28199 4.81862, -4.23670 1.50000 4.48324"
10,-41.3202,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.30367 0.50243 5.83311, -2.98002 0.85147 7.40635, -4.23670 1.50000 4.48324"
10,-41.5593,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.29114 0.37292 4.88302, -4.23670 1.50000 4.48324"
10,-43.4444,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -2.70850 0.09976 5.54075, -3.30386 0.64527 7.40635, -4.23670 1.50000 4.48324"
10,-43.8887,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.35787 1.08735 5.54804, -4.23670 1.50000 4.48324"
10,-43.9413,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.35787 1.15665 4.08288, -4.23670 1.50000 4.48324"
10,-44.0928,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -5.34762 1.15378 4.08142, -5.35787 1.15691 4.08506, -4.23670 1.50000 4.48324"
10,-44.5643,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.71154 0.28298 4.81783, -4.23670 1.50000 4.48324"
10,-44.6388,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.70683 0.28199 5.40407, -3.32876 0.77714 7.40635, -4.23670 1.50000 4.48324"
10,-45.7437,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.31349 0.45445 5.37485, -3.10205 0.88315 7.40635, -4.23670 1.50000 4.48324"
10,-45.8659,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.29417 0.33824 5.30017, -3.10767 0.82477 7.40635, -4.23670 1.50000 4.48324"
10,-45.9561,Tx-R-D-Rx,4,"-2.48996 0.30000 4.85594, -2.30858 0.28960 4.82975, -2.70683 0.28199 4.77111, -4.23670 1.50000 4.48324"
10,-46.1501,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -2.32777 0.09976 4.82004, -2.30275 0.13065 4.81451, -4.23670 1.50000 4.48324"
10,-46.2147,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -2.35053 0.09976 4.82294, -2.30740 0.16170 4.81273, -4.23670 1.50000 4.48324"
