Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
55,0.0000,Tx-Rx,0,-59.2664,"0.15000 -4.90000 1.10000, 6.35000 -7.85000 0.10000"
56,0.0000,Tx-Rx,0,-59.0375,"0.15000 -4.90000 1.10000, 6.65000 -7.85000 0.10000"
57,0.0000,Tx-Rx,0,-58.9727,"0.15000 -4.90000 1.10000, 6.95000 -7.85000 0.10000"
58,0.0000,Tx-Rx,0,-59.0124,"0.15000 -4.90000 1.10000, 7.25000 -7.85000 0.10000"
59,0.0000,Tx-Rx,0,-59.1969,"0.15000 -4.90000 1.10000, 7.55000 -7.85000 0.10000"
60,0.0000,Tx-Rx,0,-57.8678,"0.15000 -4.90000 1.10000, 7.85000 -7.85000 0.10000"
61,0.0000,Tx-Rx,0,-145.3527,"0.15000 -4.90000 1.10000, -9.85000 -7.55000 0.10000"
62,0.0000,Tx-Rx,0,-132.5285,"0.15000 -4.90000 1.10000, -9.55000 -7.55000 0.10000"
63,0.0000,Tx-Rx,0,-102.3146,"0.15000 -4.90000 1.10000, -9.25000 -7.55000 0.10000"
64,0.0000,Tx-Rx,0,-102.4183,"0.15000 -4.90000 1.10000, -8.95000 -7.55000 0.10000"
65,0.0000,Tx-Rx,0,-270.0000,"0.15000 -4.90000 1.10000, -8.65000 -7.55000 0.10000"
66,0.0000,Tx-Rx,0,-270.0000,"0.15000 -4.90000 1.10000, -8.35000 -7.55000 0.10000"
67,0.0000,Tx-Rx,0,-270.0000,"0.15000 -4.90000 1.10000, -8.05000 -7.55000 0.10000"
68,0.0000,Tx-Rx,0,-97.5864,"0.15000 -4.90000 1.10000, -7.75000 -7.55000 0.10000"
69,0.0000,Tx-Rx,0,-90.2431,"0.15000 -4.90000 1.10000, -7.45000 -7.55000 0.10000"
70,0.0000,Tx-Rx,0,-87.8076,"0.15000 -4.90000 1.10000, -7.15000 -7.55000 0.10000"
71,0.0000,Tx-Rx,0,-89.5496,"0.15000 -4.90000 1.10000, -6.85000 -7.55000 0.10000"
72,0.0000,Tx-Rx,0,-85.6728,"0.15000 -4.90000 1.10000, -6.55000 -7.55000 0.10000"
73,0.0000,Tx-Rx,0,-81.2702,"0.15000 -4.90000 1.10000, -6.25000 -7.55000 0.10000"
74,0.0000,Tx-Rx,0,-76.4118,"0.15000 -4.90000 1.10000, -5.95000 -7.55000 0.10000"
75,0.0000,Tx-Rx,0,-75.0984,"0.15000 -4.90000 1.10000, -5.65000 -7.55000 0.10000"
76,0.0000,Tx-Rx,0,-75.4440,"0.15000 -4.90000 1.10000, -5.35000 -7.55000 0.10000"
77,0.0000,Tx-Rx,0,-75.1588,"0.15000 -4.90000 1.10000, -5.05000 -7.55000 0.10000"
78,0.0000,Tx-Rx,0,-74.8270,"0.15000 -4.90000 1.10000, -4.75000 -7.55000 0.10000"
79,0.0000,Tx-Rx,0,-74.8890,"0.15000 -4.90000 1.10000, -4.45000 -7.55000 0.10000"
80,0.0000,Tx-Rx,0,-74.8620,"0.15000 -4.90000 1.10000, -4.15000 -7.55000 0.10000"
81,0.0000,Tx-Rx,0,-74.4671,"0.15000 -4.90000 1.10000, -3.85000 -7.55000 0.10000"
82,0.0000,Tx-Rx,0,-74.3434,"0.15000 -4.90000 1.10000, -3.55000 -7.55000 0.10000"
83,0.0000,Tx-Rx,0,-74.3321,"0.15000 -4.90000 1.10000, -3.25000 -7.55000 0.10000"
84,0.0000,Tx-Rx,0,-74.1791,"0.15000 -4.90000 1.10000, -2.95000 -7.55000 0.10000"
85,0.0000,Tx-Rx,0,-73.9851,"0.15000 -4.90000 1.10000, -2.65000 -7.55000 0.10000"
86,0.0000,Tx-Rx,0,-73.9096,"0.15000 -4.90000 1.10000, -2.35000 -7.55000 0.10000"
87,0.0000,Tx-Rx,0,-80.4147,"0.15000 -4.90000 1.10000, -2.05000 -7.55000 0.10000"
